locality_it,locality_printed,skeleton,circoscrizione_it,circoscrizione_kind,circoscrizione_ar,shabiya_ar,shabiya_en,shabiya_pcode,shabiya_matched_level,tav_xx_page,appendix_page,circoscrizione_printed,mahalla_id,mahalla_ar,match_rule
el- Frih,Frih (el-),LFRY,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,242,55 Distretto di Sabràtha',,,no mahalla of that sound in the shabiya
el- Culèba,Culèba (el-),LKWLB,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,242,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Uàdi Frùten,Frùten (Uàdi),WDYFRWTN,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,61,242,61 Distretto di Mìzda,,,no mahalla of that sound in the shabiya
Bir Cur,Cur (Bir),BYRKWR,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,242,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
el- Ftàiah,Ftàiah (el-),LFTY,derna,distretto,درنة,درنة,Derna,LY0101,shabiya,,242,'Distretto di Derna,,,no mahalla of that sound in the shabiya
el- Fuatìr,Fuatìr (el-),LFWTYR,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,242,65 Circondario di ZIiten,,,no mahalla of that sound in the shabiya
Gasr el- Fugàni,Fugàni (Gasr el-),KSRLFWKNY,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,59,242,59 Residenza di Nalùt,,,no mahalla of that sound in the shabiya
Dàhar (ed-),Dàhar (ed-),DHRD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Dahmàn,Dahmàn,DHMN,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,242,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Dàhra,Dàhra,DHR,iefren,residenza,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,242,61 Residenza di Ièfren,,,skeleton too short
el- Gàa,Gàa (el-),LK,,,,,,,,62,242,62,,,no shabiya
Dahret Ràmed,Dahret Ràmed,DHRTRMD,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,242,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Uàdi Gààn,Gààn (Uàdi),WDYKN,,,,,,,,59,242,59,,,no shabiya
Dahùm (eel-),Dahùm (eel-),DHWML,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Gabr On,Gabr On,KBRN,,,,,,,,77,242,77,,,no shabiya
Dàuia (ed-),Dàuia (ed-),DWYD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza' di Tarhùna,,,no mahalla of that sound in the shabiya
Gaelàmes,"Gaelàmes,",KLMS,,,,,,,,59,242,59,,,no shabiya
Dèbdeb,Dèbdeb,DBDB,brach,mudiria,براك,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,,242,7.5 Mudirla di Brach',,,no mahalla of that sound in the shabiya
Sottozona militare di el·GiÒf,Sottozona militare di el·GiÒf,STZNMYLYTRDYLGF,,,,,,,,,242,,,,no shabiya
GàderFài,GàderFài,KDRFY,,,,,,,,79,242,79,,,no shabiya
Dechèla (eel-),Dechèla (eel-),DKL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza' di Tarhùl.1a,,,skeleton too short
el- Gahàda Duha,Gahàda Duha (el-),LKHDW,,,,,,,,64,242,64,,,no shabiya
Dègghi,Dègghi,DKY,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,,242,",Residenza di Nalùt",,,skeleton too short
el- Gahasàt,Gahasàt (el-),LKHST,,,,,,,,59,242,59,,,no shabiya
Dehèra (ed-),Dehèra (ed-),DHRD,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,242,65 Circondario di Zlìten,,,no mahalla of that sound in the shabiya
Gasr Gàmbut,Gàmbut (Gasr),KSRKMBWT,,,,,,,,74,242,74,,,no shabiya
Gasr Dèlla,Dèlla (Gasr),KSRDL,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,242,60 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Ganfùda,Ganfùda,KNFWD,,,,,,,,69,242,69,,,no shabiya
Dèmga (ed-),Dèmga (ed-),DMKD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,242,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Garàa,Garàa (el-),LKR,,,,,,,,64,242,64,,,no shabiya
Dèmna (ed-),Dèmna (ed-),DMND,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,242,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Gasr el- Garabùlli,Garabùlli (Gasr el-),KSRLKRBWLY,,,,,,,,58,242,58,,,no shabiya
Derg (oasi di),"Derg (oasi di) ,",DRKSYDY,gadames,residenza,غدامس,نالوت,Nalut,LY0209,baladiya,59,242,59 Residenza di Gadàmes,,,no mahalla of that sound in the shabiya
Garàet en-Nèffati,Garàet en-Nèffati,KRTNFTY,,,,,,,,63,242,63,,,no shabiya
Derna,Derna,DRN,derna,distretto,درنة,درنة,Derna,LY0101,shabiya,73,242,", 73 Distretto di Derna'",,,skeleton too short
Garàma,Garàma',KRM,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,,242,Mudiria di Uàdi el-Agiàl,,,skeleton too short
Derna (U àdi),Derna (U àdi),DRNWDY,derna,distretto,درنة,درنة,Derna,LY0101,shabiya,73,242,73 Distretto eli Derna,,,no mahalla of that sound in the shabiya
Uàdiel- Gàrbi,Gàrbi (Uàdiel-),WDYLKRBY,,,,,,,,58,242,58,,,no shabiya
Dfeirìa (ed-),Dfeirìa (ed-),DFYRYD,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,242,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Uàdi el- Garbiàt,Garbiàt (Uàdi el-),WDYLKRBYT,,,,,,,,67,242,67,,,no shabiya
Dhar Bu Madi,Dhar Bu Madi,DHRBWMDY,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,61,242,61 Distretto di Mìzda,,,no mahalla of that sound in the shabiya
Birel- Gàrem,Gàrem (Birel-),BYRLKRM,,,,,,,,64,242,", 64",,,no shabiya
Diasìr (ed-),Diasìr (ed-),DYSYRD,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,242,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Gargùr,Gargùr,KRKWR,,,,,,,,63,242,63,,,no shabiya
Dis (ed-),Dis (ed-),DYSD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza eli Tarhùna,,,no mahalla of that sound in the shabiya
Gargùza (Oasi di),Gargùza (Oasi di),KRKWZSYDY,,,,,,,,56,242,56,,,no shabiya
Got ed- Dis,Dis (Got ed-),KTDYS,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,242,",55 Distretto di Sabràtha",,,no mahalla of that sound in the shabiya
el- Garìb,Garìb (el-),LKRYB,,,,,,,,70,242,70,,,no shabiya
Dìsa (ed-),Dìsa (ed-),DYSD,traghen,mudiria,تراغن,مرزق,Murzuq,LY0322,asserted,78,242,78 Mudida 'di Tràghen,,,no mahalla of that sound in the shabiya
Gariùnes,Gariùnes,KRYWNS,,,,,,,,69,242,",69",,,no shabiya
Dlem,Dlem,DLM,murzuch,mudiria,مرزق,مرزق,Murzuq,LY0322,shabiya,78,242,78 Mudiria di Mùrzuch,,,skeleton too short
el- Gasr,Gasr (el-),LKSR,,,,,,,,75,242,75,,,no shabiya
Dòg~,Dòg~,DK,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Resielenza di Tarhùna,,,skeleton too short
Gat,Gat,KT,,,,,,,,76,242,76,,,no shabiya
Drablia (ed-),Drablia(ed-),DRBLYD,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,242,",55 Distretto eli Sabràtha",,,no mahalla of that sound in the shabiya
el- Gàta,Gàta (el-),LKT,,,,,,,,61,242,61,,,no shabiya
Drahìb (Terr. degli ed-),Drahìb (Terr. degli ed-),DRHYBTRDKLYD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,242,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
"el"" Gatrùn","Gatrùn (el"")",LKTRWN,,,,,,,,78,242,78,,,no shabiya
Bir Drèder,Drèder (Bir),BYRDRDR,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,61,242,61 Distretto di Mìzda,,,no mahalla of that sound in the shabiya
el- Gattàr,Gattàr (el-),LKTR,,,,,,,,63,242,63,,,no shabiya
Driàna,Driàna,DRYN,tocra,residenza,توكرة,المرج,Marj,LY0102,baladiya,70,242,70 Residenza di Tòcra,Marj-029,دريانة,skeleton and shabiya
Gattàra (UMi el~),Gattàra (UMi el~),KTRWMYL,,,,,,,,64,242,64,,,no shabiya
Dsciàr (ed-),Dsciàr (ed-),DXYRD,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,242,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
Gattìs,Gattìs,KTYS,,,,,,,,59,242,59,,,no shabiya
Duèis (ed-),Duèis (ed-),DWYSD,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,,242,6g ReSidenza di Bengasi,,,no mahalla of that sound in the shabiya
Gauàt,Gauàt,KWT,,,,,,,,78,242,78,,,no shabiya
Duèsa (ed-),Duèsa (ed-),DWSD,berghin,mudiria,برقن,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,75,242,75 Mudirla di Bèrghin,,,no mahalla of that sound in the shabiya
Uàdi Gaugàu,Gaugàu (Uàdi),WDYKWKW,,,,,,,,62,242,62 ',,,no shabiya
Dugiàl,", Dugiàl",DWGL,uadi etba,,وادي عتبة,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,77,242,77 Muelirla di Uàdi Ètba,,,no mahalla of that sound in the shabiya
el- Gazàia,Gazàia (el-),LKZY,,,,,,,,58,242,58,,,no shabiya
Duranìa,Duranìa,DWRNY,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,242,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Gazàl (Uàqi \el-),Gazàl (Uàqi \el-),KZLWKYL,en nofilia,residenza,النوفلية,سرت,Sirte,LY0208,mahalla,,242,Residenza di en-Nofilìa,,,no mahalla of that sound in the shabiya
Ain el- Gazàla,Gazàla (Ain el-),YNLKZL,tobruch,residenza,طبرق,البطنان,Butnan,LY0104,baladiya,,242,Residenza di Tòbruch,Butnan-001,عين الغزالة,skeleton and shabiya
Uàdi el- Gàzi,Gàzi(Uàdi el-),WDYLKZY,,,,,,,,67,242,67,,,no shabiya
el- Gebèi!,Gebèi! (el-),LGBY,porto bardia,residenza,البردية,البطنان,Butnan,LY0104,asserted,,242,Residenza (Ù Porto Bardìa,,,no mahalla of that sound in the shabiya
Èdri,Èdri,DRY,edri,mudiria,إدري,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,74,242,74 Mudirla di Èdri,,,skeleton too short
Gedèida,Gedèida,GDYD,,,,,,,,57,242,57,,,no shabiya
Egghi Uèn,Egghi Uèn,KYWN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Gedid (Gasr el-ì,Gedid (Gasr el-ì,GDYDKSRLY,,,,,,,,61,242,61,,,no shabiya
el- Erua,Erua (el-),LRW,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza di Tarhùna,,,skeleton too short
"Gedìd , (Oasi eli el-)","Gedìd ,(Oasi eli el-)",GDYDSYLYL,sebha,mudiria,سبها,سبها,Sabha,LY0319,shabiya,,242,Mudiria di Sèbha,,,no mahalla of that sound in the shabiya
el- Esc,Esc (el-),LX,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,242,63 Residenza di Tarhùna,,,skeleton too short
Gediela,Gediela,GDYL,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,,242,Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Èsc'chida,Èsc'chida,XKYD,brach,mudiria,براك,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,75,242,75 Mudiria di Brach,,,no mahalla of that sound in the shabiya
Bir el- Gedida,Gedida (Bir el-),BYRLGDYD,,,,,,,,62,242,62,,,no shabiya
Uàdi Ètba,Ètba (Uàdi),WDYTB,uadi etba,mudiria,وادي عتبة,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,77,242,77 Mudirla di Uàdi Ètba,,,no mahalla of that sound in the shabiya
el ~ Gefàra,Gefàra (el ~ ),LGFR,,,,,,,,64,242,64,,,no shabiya
Gasr Gefàra,Gefàra (Gasr),KSRGFR,,,,,,,,62,242,62,,,no shabiya
Gehèsc (el,Gehèsc (el,GHXL,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,,242,Residenza di Gariàn,,,no mahalla of that sound in the shabiya
el- Gehèscia,Gehèscia (el-),LGHXY,,,,,,,,59,242,"59,",,,no shabiya
el- Faidi!).,Faidi!). (el-),LFYDY,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,,242,Distretto di Cirene,,,no mahalla of that sound in the shabiya
el- Geitàl,Geitàl (el-),LGYTL,,,,,,,,61,242,61,,,no shabiya
Fassàto,Fassàto,FST,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,,242,Distretto di Giàdo,,,skeleton too short
Got el- Fed,Fed (Got el-),KTLFD,gerdes gerrari,distretto,قرضس الجرارى,,,,,,242,Distretto di Gèrdes Gerràri,,,no shabiya
el- Geltllìa,Geltllìa ( el- ),LGLTLY,,,,,,,,68,242,68,,,no shabiya
Fegèg,Fegèg,FGK,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,,242,Residenza di Roms,,,skeleton too short
el- Gemil,Gemil (el-),LGMYL,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,,242,Distretto di Zuàra,,,no mahalla of that sound in the shabiya
Gemmàri,Gemmàri,GMRY,,,,,,,,60,242,60,,,no shabiya
Fergiàn,Fergiàn,FRGN,,,,,,,,,242,,,,no shabiya
Mù~irla di Han,Mù~irla di Han,MWYRLDYHN,,,,,,,,,242,,,,no shabiya
Genàn Attìa,Genàn Attìa,GNTY,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,,242,Distretto di Sabràtha,Nuqat al Khams-014,جنان عطية,skeleton and shabiya
ele Fergiania,Fergiania (ele ),LFRGNY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,242,Residenza di Tarhùna,Murqub-039,الفرجان,semivowels dropped
Genànben Nasìb,Genànben Nasìb,GNBNSYB,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,,242,Distretto di Zuàra,Nuqat al Khams-018,جنان بن نصيب,skeleton and shabiya
Fersàtta,Fersàtta,FRST,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,,242,Residenza di Nalùt,,,no mahalla of that sound in the shabiya
Geimàuen,Geimàuen,GYMWN,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,,242,Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Fèr.ua,Fèr.ua,FRW,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,,242,Distretto di Zuàra,,,skeleton too short
Gèrdes tll-Abìd,Gèrdes tll-Abìd,GRDSTLBYD,barce,distretto,المرج,المرج,Marj,LY0102,shabiya,70,242,70 Distretto di Barce,,,no mahalla of that sound in the shabiya
Suàni Fessàno,Fessàno (Suàni),SWNYFSN,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,,242,Distretto di Mìzda,,,no mahalla of that sound in the shabiya
Gèrdes Gerràri,Gèrdes Gerràri,GRDSGRY,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,242,71 Distretto di Gèrdes Gerràri,,,no shabiya
el- Fèuet,Fèuet (el-),LFWT,gat,mudiria,غات,غات,Ghat,LY0321,shabiya,,242,Mudiria di' Gat,,,no mahalla of that sound in the shabiya
el- Gsèba,Gsèba (el-),LKSB,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,243,59 Residenza di Gariàn,,,two 1936 localities claim the same mahalla
Gerìgen,Gerìgen,GRYGN,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,59,243,59 Residenza di Nalùt,,,no mahalla of that sound in the shabiya
el- Gser,Gser (el-),LKSR,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,243,77 Mudiria di Uàdi el-Agiàl,,,no mahalla of that sound in the shabiya
Gèrma,Gèrma,GRM,,,,,,,,76,243,76,,,no shabiya
el- Gsìr,Gsìr (el-),LKSYR,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,243,60 Distretto di Giàdo,,,name repeats in 1936 shabiya
el- Gèsscia,Gèsscia( el-),LGSXY,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,243,71 Distretto di Gèrdes Gerràri,,,no shabiya
el- Gsìr,Gsìr (el-),LKSYR,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,243,61 Distretto di lèfren,,,name repeats in 1936 shabiya
Gfànta,Gfànta,KFNT,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,71,243,71 Distretto di Bèda Littòria,Jabal al Akhdar-015,اقفنطة,skeleton and shabiya
Gsm el-Megiahìr,Gsm el-Megiahìr,KSMLMGHYR,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,243,71 Distretto di Gèrdes Gerràri,,,no shabiya
Ghebbàa,Ghebbàa,KB,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,243,59 Residenza di Gariàn,,,skeleton too short
Birel- Ghedìmel-Hofra,Ghedìmel-Hofra (Birel-),BYRLKDYMLHFR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,243,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Gsur Sceiz,Gsur Sceiz,KSWRXYZ,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,55,243,55 Distretto di Zuàra,,,no mahalla of that sound in the shabiya
Guàrscia,Guàrscia,KWRXY,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,243,69 Residenza di Bengasi,,,no mahalla of that sound in the shabiya
el- Ghègab,Ghègab (el-),LKB,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,243,72 Distretto di Cirene,,,skeleton too short
el- Guàsem,Guàsem (el-),LKWSM,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,243,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
Ghegàm,Ghegàm,KM,brach,mudiria,براك,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,75,243,75 Mudirìa di Brach,,,skeleton too short
"Guàsem (Terr. degli el"")","Guàsem (Terr. degli el"")",KWSMTRDKLYL,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,243,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
"el"" Ghèlscia","Ghèlscia (el"")",LKLXY,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,243,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
el- Gùbba,Gùbba (el-),LKWB,giovanni berta,distretto,القبة,درنة,Derna,LY0101,baladiya,73,243,73 Distretto di Giovanni Berta,,,no mahalla of that sound in the shabiya
Ghemìnes,Ghemìnes,KMYNS,soluch,residenza,سلوق,بنغازي,Benghazi,LY0103,baladiya,69,243,69 Residenza di Solùch,,,no mahalla of that sound in the shabiya
el- Guèsra,Guèsra (el-),LKWSR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,243,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Bir el- Ghenem,Ghenem (Bir el-),BYRLKNM,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,243,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Uàdi Gugàs,Gugàs (Uàdi),WDYKWKS,hon,residenza,هون,الجفرة,Jufra,LY0317,asserted,62,243,62 Residenza di HOnls,,,no mahalla of that sound in the shabiya
el- Gheràia,Gheràia (el-),LKRY,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,243,77 Mudirìa di Uàdi el-Agiàl,,,no mahalla of that sound in the shabiya
GugUa,GugUa,KWKW,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,243,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
el- Gherìa,Gherìa (el-),LKRY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,243,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Gùsba,Gùsba (el-),LKWSB,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,243,60 Residenza di Gariàn,,,two 1936 localities claim the same mahalla
Ghèria el-Garbìa,Ghèria el-Garbìa,KRYLKRBY,,,,,,,,,243,,,,no shabiya
(Oasi,(Oasi,SY,,,,,,,,,243,,,,no shabiya
Distr. di el-Ghèria esc-Scerghìa,Distr. di el-Ghèria esc-Scerghìa,DYSTRDYLKRYXRKY,,,,,,,,,243,,,,no shabiya
6.z,6.z,Z,,,,,,,,,243,,,,no shabiya
el- Gusbàt,Gusbàt (el-),LKWSBT,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,243,61 Distretto di lèfren,,,no mahalla of that sound in the shabiya
di el-),di el-),DYL,,,,,,,,,243,,,,no shabiya
Distr. di el-Ghèria esc-Scerghìa,Distr. di el-Ghèria esc-Scerghìa,DYSTRDYLKRYXRKY,,,,,,,,,243,,,,no shabiya
6'2,6'2,,,,,,,,,,243,,,,no shabiya
el- Gusbàt,Gusbàt (el-),LKWSBT,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,62,243,62-63 Residenza· di el-Gusbàt,,,no mahalla of that sound in the shabiya
Ghèria esc-Scerghìa,Ghèria esc-Scerghìa,KRYXRKY,,,,,,,,,243,,,,no shabiya
Gùsbet Acca,Gùsbet Acca,KWSBTK,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,243,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
Ghernàda,Ghernàda,KRND,,,,,,,,72,243,72,,,no shabiya
Gherrìm (Dàdi),Gherrìm (Dàdi),KRYMDY,,,,,,,,63,243,63,,,no shabiya
Gherrìm (Dàdi),Gherrìm (Dàdi),KRYMDY,,,,,,,,62,243,62,,,no shabiya
Ghim (Dàdi el-),Ghim (Dàdi el-),KYMDYL,,,,,,,,63,243,63,,,no shabiya
Hadrianòpolis,Hadrianòpolis,HDRYNBLYS,tocra,residenza,توكرة,المرج,Marj,LY0102,baladiya,70,243,70 Residenza di Tòcra,,,no mahalla of that sound in the shabiya
Ghira,Ghira,KYR,,,,,,,,75,243,75,,,no shabiya
Hag (GasI' el-),Hag (GasI' el-),HKSYL,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,243,60 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Ghizàn,Ghizàn,KYZN,,,,,,,,59,243,59,,,no shabiya
Sìdi el- Hag Amèr,Hag Amèr (Sìdi el-),SYDYLHKMR,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,243,65 Circondario di Zlìten,,,no mahalla of that sound in the shabiya
Ghlèb el-Battùma,Ghlèb el-Battùma,KLBLBTWM,,,,,,,,63,243,63,,,no shabiya
Hagiàra,Hagiàra,HGR,sebha,mudiria,سبها,سبها,Sabha,LY0319,shabiya,76,243,76 Mudiria di Sèbha,,,skeleton too short
Giabbàr,Giabbàr,GBR,,,,,,,,55,243,55,,,no shabiya
Sìdi el- Hag Saìd,Hag Saìd (Sìdi el-),SYDYLHKSYD,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,243,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Sìdi Giàber,Giàber (Sìdi),SYDYGBR,,,,,,,,57,243,57,,,no shabiya
Hàleg el-Galla,Hàleg el-Galla,HLGLKL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,65,243,65 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Giabrùn (D àdi),Giabrùn (D àdi),GBRWNDY,,,,,,,,62,243,62,,,no shabiya
Hàleg en-Nàga,Hàleg en-Nàga,HLGNK,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,243,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Giàdo,Giàdo,GD,,,,,,,,60,243,60,,,no shabiya
Halfàia el-Agelàt,Halfàia el-Agelàt,HLFYLGLT,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,243,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Giàlo (Oasi di),Giàlo (Oasi di),GLSYDY,,,,,,,,68,243,68,,,no shabiya
Hamàier,Hamàier,HMYR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,243,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Giàma el-Atrusìa,Giàma el-Atrusìa,GMLTRWSY,,,,,,,,62,243,62,,,no shabiya
Hamda,Hamda,HMD,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,55,243,55 Distretto di Zuàra,,,skeleton too short
Giàma es-Sidra,Giàma es-Sidra,GMSYDR,,,,,,,,59,243,59,,,no shabiya
Hameiràt,Hameiràt,HMYRT,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,243,71 Distretto di Gèrdes Gerràri,,,no shabiya
Giàma Sìdi Rdut,Giàma Sìdi Rdut,GMSYDYRDWT,,,,,,,,60,243,60,,,no shabiya
el- Hammàm,Hammàm (el-),LHM,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,243,62 Residenza di Homs,,,skeleton too short
Bir Giammàl,Giammàl (Bir),BYRGML,,,,,,,,57,243,57,,,no shabiya
el- Hammàm,Hammàm (el-),LHM,hon,mudiria,هون,الجفرة,Jufra,LY0317,asserted,79,243,79 Mudirìa di Hon,,,skeleton too short
Gianzùr,Gianzùr,GNZWR,,,,,,,,74,243,74,,,no shabiya
