year,month,date,group_code,group_name,index,weight,base_year,base_year_source,has_conflict,mom_change_pct,annual_average,family,source_document,source_sha256
2021,12,2021-12,08,Communication,83.6,2.7,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,09,Recreation and Culture,206.7,2.8,,unresolved,0,0.4,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,10,Education,380.1,4.0,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,11,Restaurants and Hotels,344.9,1.7,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,12,Miscellaneous Goods and Services,294.5,3.1,,unresolved,0,0.2,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2026,3,2026-03,00,General Index,113.9,100.0,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,3,2026-03,01,Food and Beverages,119.5,40.39,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,3,2026-03,02,Tobacco,108.4,0.34,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,3,2026-03,03,Clothing and Footwear,120.4,10.25,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,3,2026-03,04,"Housing, Water, Electricity and Other Fuels",107.4,24.09,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
