date,year,month,currency_in_circulation,cash_in_vault,deposits_with_central_bank,bank_reserves_total,public_enterprise_demand_deposits,monetary_base
2010-10-31,2010,10,7058.2,1112.8,12308.0,13420.8,976.0,21455.0
2010-11-30,2010,11,7370.1,1058.3,12709.9,13768.2,930.3,22068.6
2010-12-31,2010,12,7609.0,847.1,13228.4,14075.5,919.7,22604.2
2011-01-31,2011,1,7634.3,1044.2,12849.4,13893.6,904.9,22432.8
2011-02-28,2011,2,9607.7,687.1,14303.4,14990.5,2397.0,26995.2
2011-03-31,2011,3,11317.6,496.1,14369.7,14865.8,2217.2,28400.6
2011-04-30,2011,4,11923.0,598.9,13151.5,13750.4,1726.9,27400.3
2011-05-31,2011,5,12515.7,446.1,12752.3,13198.4,1765.4,27479.5
2011-06-30,2011,6,12642.0,552.2,13143.6,13695.8,1928.1,28265.9
2011-07-31,2011,7,13151.4,409.1,13862.0,14271.1,1844.8,29267.3
2011-08-31,2011,8,13149.7,460.7,13819.6,14280.3,1810.4,29240.4
2011-09-30,2011,9,13920.0,394.8,14356.0,14750.8,1807.0,30477.8
2011-10-31,2011,10,14693.3,529.4,14215.3,14744.7,1883.1,31321.1
2011-11-30,2011,11,15238.6,507.6,13949.7,14457.3,1891.6,31587.5
2011-12-31,2011,12,14840.1,864.6,14890.8,15755.4,1809.0,32404.5
2012-01-31,2012,1,14362.4,1321.9,16612.9,17934.8,2062.3,34359.5
2012-02-29,2012,2,13786.2,1073.4,14719.3,15792.7,1862.8,31441.7
2012-03-31,2012,3,14534.2,1377.3,15362.0,16739.3,1848.5,33122.0
2012-04-30,2012,4,14668.5,1552.1,14163.3,15715.4,1841.7,32225.6
2012-05-31,2012,5,14764.6,1253.8,16088.3,17342.1,1512.2,33618.9
2012-06-30,2012,6,14921.8,1413.5,15251.1,16664.6,1592.5,33178.9
2012-07-31,2012,7,14623.6,1843.9,15194.4,17038.3,2088.8,33750.7
2012-08-31,2012,8,14868.1,1612.4,14304.4,15916.8,2072.8,32857.7
2012-09-30,2012,9,14094.7,1979.2,14282.8,16262.0,2465.3,32822.0
2012-10-31,2012,10,14138.5,1755.3,15249.4,17004.7,2435.5,33578.7
2012-11-30,2012,11,13510.3,1991.7,15963.4,17955.1,2421.2,33886.6
2012-12-31,2012,12,13391.1,1433.3,17990.5,19423.8,1486.0,34300.9
