mahalla_id,shabiya_ar,shabiya_en,mahalla_ar,libyan_hh_households,libyan_hh_libyans,libyan_hh_non_libyans,libyan_hh_persons,non_libyan_hh_households,non_libyan_hh_libyans,non_libyan_hh_non_libyans,non_libyan_hh_persons,households,libyans,non_libyans,persons,identity_failures,imputed_cells,page,source_document,source_sha256
Murqub-021,المرقب,Murqub,الفاسي,446,2885,5,2890,8,0,20,20,454,2885,25,50,1,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-022,المرقب,Murqub,قصر الجديد,877,4721,15,4736,34,0,91,91,911,4721,106,4827,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-023,المرقب,Murqub,بن ناصر,1356,8714,19,8733,9,4,27,31,1365,8718,46,8764,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-024,المرقب,Murqub,سم الديس,600,3630,5,3635,9,3,23,26,609,3633,28,3661,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-025,المرقب,Murqub,الخشش,216,1717,8,1725,2,1,9,10,218,1718,17,1735,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-026,المرقب,Murqub,القطارة,641,4636,8,4644,13,9,31,40,654,4645,39,4684,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-027,المرقب,Murqub,المعطن,839,6082,16,6098,17,0,48,48,856,6082,64,6146,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-028,المرقب,Murqub,الوادي,81,560,2,562,0,0,0,0,81,560,2,562,0,1,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-029,المرقب,Murqub,الاكوام,1568,9229,47,9276,143,18,640,658,1711,9247,687,9934,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-030,المرقب,Murqub,سيدي احميد,1646,8819,32,8851,68,14,272,286,1714,8833,304,9137,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-031,المرقب,Murqub,الشرشارة,546,3535,16,3551,4,9,13,22,550,3544,29,3573,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-032,المرقب,Murqub,البلدية,1936,10730,82,10812,159,46,703,749,2095,10776,785,11561,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-033,المرقب,Murqub,الشقيقة,738,4184,32,4216,125,32,407,439,863,4216,439,4655,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-034,المرقب,Murqub,دوغة,860,4757,13,4770,9,1,32,33,869,4758,45,4803,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-035,المرقب,Murqub,الابيار,853,5219,11,5230,7,1,21,22,860,5220,32,5252,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-036,المرقب,Murqub,ترغلات,1184,6931,16,6947,8,2,47,49,1192,6933,63,6996,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-037,المرقب,Murqub,القصيعة,1202,7355,20,7375,17,6,46,52,1219,7361,66,7427,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-038,المرقب,Murqub,سيدي معمر,1504,8962,32,8994,30,20,77,97,1534,8982,109,9091,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-039,المرقب,Murqub,الفرجان,1749,10557,46,10603,47,2,195,197,1796,10559,241,10800,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-040,المرقب,Murqub,اولادعلي,863,5894,15,5909,2,0,14,14,865,5894,29,5923,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-041,المرقب,Murqub,الشمالية سيدي الصيد,1346,7887,26,7913,38,5,99,104,1384,7892,125,8017,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-042,المرقب,Murqub,الجنوبية سيدي الصيد,643,3915,13,3928,21,1,49,50,664,3916,62,3978,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-043,المرقب,Murqub,الشويرف,323,2200,12,2212,0,0,0,0,323,2200,12,2212,0,1,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-044,المرقب,Murqub,جبل معروف,395,2179,6,2185,20,3,54,57,415,2182,60,2242,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-045,المرقب,Murqub,بئر معتوق,613,3892,13,3905,29,1,62,63,642,3893,75,3968,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-046,المرقب,Murqub,سوق الاحد,587,3272,20,3292,48,12,112,124,635,3284,132,3416,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-047,المرقب,Murqub,سوق الجمعة,1118,5899,18,5917,51,4,103,107,1169,5903,121,6024,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-048,المرقب,Murqub,ترغت,788,4328,11,4339,30,12,61,73,818,4340,72,4412,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-049,المرقب,Murqub,الكراوة,2236,13222,87,13309,201,35,785,820,2437,13257,872,14129,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-050,المرقب,Murqub,الشرقية القرابوللي,959,5650,23,5673,38,4,142,146,997,5654,165,5819,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-051,المرقب,Murqub,الرواجح,982,5618,18,5636,53,3,124,127,1035,5621,142,5763,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-052,المرقب,Murqub,العطايا,1538,8997,45,9042,143,14,371,385,1681,9011,416,9427,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-053,المرقب,Murqub,القويعة,886,5000,27,5027,127,18,313,331,1013,5018,340,5358,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-054,المرقب,Murqub,الخوالق,596,3292,9,3301,11,4,23,27,607,3296,32,3328,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-055,المرقب,Murqub,العلوص,2276,12998,64,13062,336,40,875,915,2612,13038,939,13977,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-056,المرقب,Murqub,الاخيار المركز,2376,15350,89,15439,322,57,1212,1269,2698,15407,1301,16708,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-057,المرقب,Murqub,الاخيار الغربية,1239,8328,24,8352,25,20,83,103,1264,8348,107,8455,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-058,المرقب,Murqub,سيدي عمير,1030,6546,38,6584,48,6,169,175,1078,6552,207,6759,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Murqub-059,المرقب,Murqub,الخضراء,1305,7631,20,7651,35,6,115,121,1340,7637,135,7772,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-المرقب-لسنة-2006م.pdf,d4eca0016c85368c88799f7c91a215d23f839ffc14b25ab3d213540cac8d129c
Al Wahat-001,الواحات,Al Wahat,الزحف الاخضر,3527,26727,323,27050,425,232,1692,1924,3952,26959,2015,28974,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-002,الواحات,Al Wahat,الفاتح,3527,27205,267,27472,329,183,1330,1513,3856,27388,1597,28985,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-003,الواحات,Al Wahat,الوحدة العربية,3416,25642,245,25887,472,215,1747,1962,3888,25857,1992,27849,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-004,الواحات,Al Wahat,الثورة الشعبية,2761,20358,169,20527,293,105,1124,1229,3054,20463,1293,21756,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-005,الواحات,Al Wahat,سيدي فرج,18,124,0,124,16,0,19,19,34,124,19,143,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-006,الواحات,Al Wahat,الزويتينة,644,4394,30,4424,67,12,218,230,711,4406,248,4654,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-007,الواحات,Al Wahat,سلطان الجنوبي,397,2890,13,2903,25,5,90,95,422,2895,103,2998,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-008,الواحات,Al Wahat,سلطان الشمالية,150,941,6,947,17,12,47,59,167,953,53,1006,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-009,الواحات,Al Wahat,البريقة,319,2316,17,2333,128,15,361,376,447,2331,378,2709,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-010,الواحات,Al Wahat,المرسى,3084,21401,175,21576,298,138,1127,1265,3382,21539,1302,22841,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-011,الواحات,Al Wahat,بشر,404,3163,34,3197,46,6,186,192,450,3169,220,3389,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-012,الواحات,Al Wahat,العقيلة,75,527,0,527,9,3,21,24,84,530,21,551,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-013,الواحات,Al Wahat,مرادة,321,2469,24,2493,22,6,110,116,343,2475,134,2609,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-014,الواحات,Al Wahat,السواني,512,3311,26,3337,270,19,681,700,782,3330,707,4037,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-015,الواحات,Al Wahat,عبد الله بن السرح,620,3854,15,3869,141,27,288,315,761,3881,303,4184,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-016,الواحات,Al Wahat,اجخرة,593,3716,23,3739,65,22,315,337,658,3738,338,4076,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-017,الواحات,Al Wahat,الشرف,466,2909,21,2930,238,35,682,717,704,2944,703,3647,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-018,الواحات,Al Wahat,العرق,836,4487,91,4578,457,53,1602,1655,1293,4540,1693,6233,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-019,الواحات,Al Wahat,اللبة,689,3982,52,4034,306,36,636,672,995,4018,688,4706,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Al Wahat-020,الواحات,Al Wahat,راشدة,536,3165,60,3225,295,13,570,583,831,3178,630,3808,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
Benghazi-001,بنغازي,Benghazi,الشابي,184,864,41,905,35,8,158,166,219,872,199,1071,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-002,بنغازي,Benghazi,اغربيل,1619,7861,210,8071,289,92,1295,1387,1908,7953,1505,9458,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-003,بنغازي,Benghazi,سيدي سالم,224,996,35,1031,46,11,147,158,270,1007,182,1189,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-004,بنغازي,Benghazi,الدراوي,684,3318,72,3390,214,24,951,975,898,3342,1023,4365,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-005,بنغازي,Benghazi,بالخير,43,194,4,198,11,7,31,38,54,201,35,236,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-006,بنغازي,Benghazi,الوحيشي,397,1809,42,1851,96,18,366,384,493,1827,408,2235,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-007,بنغازي,Benghazi,اخربيش,702,3580,143,3723,335,26,1482,1508,1037,3606,1625,5231,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-008,بنغازي,Benghazi,بن عيسى,292,1392,27,1419,76,13,278,291,368,1405,305,1710,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-009,بنغازي,Benghazi,الشريف,410,2106,57,2163,126,19,641,660,536,2125,698,2823,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-010,بنغازي,Benghazi,الجزيرة,356,1845,44,1889,219,13,631,644,575,1858,675,2533,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-011,بنغازي,Benghazi,سيدي حسين,3271,17346,391,17737,447,130,1887,2017,3718,17476,2278,19754,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-012,بنغازي,Benghazi,السلماني الغربي,8982,50395,821,51216,838,297,3863,4160,9820,50692,4684,55376,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-013,بنغازي,Benghazi,الصابري الشرقي,4127,22688,369,23057,275,100,1199,1299,4402,22788,1568,24356,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-014,بنغازي,Benghazi,الصابري الغربي,3317,18087,388,18475,567,92,2448,2540,3884,18179,2836,21015,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-015,بنغازي,Benghazi,داود البحرية,1047,5408,119,5527,194,61,835,896,1241,5469,954,6423,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-016,بنغازي,Benghazi,خالد بن وليد,4613,24956,401,25357,396,123,1766,1889,5009,25079,2167,27246,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-017,بنغازي,Benghazi,داودالغربي,8125,45046,544,45590,434,246,1456,1702,8559,45292,2000,47292,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-018,بنغازي,Benghazi,الفويهات الغربية,2242,12021,126,12147,54,45,194,239,2296,12066,320,12386,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-019,بنغازي,Benghazi,بنغازي الجديدة,14053,88884,1112,89996,469,298,1601,1899,14522,89182,2713,91895,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-020,بنغازي,Benghazi,داود القبلي,6038,32232,524,32756,693,175,3100,3275,6731,32407,3624,36031,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-021,بنغازي,Benghazi,الثورة الشعبية,8429,47471,488,47959,549,193,2107,2300,8978,47664,2595,50259,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-022,بنغازي,Benghazi,المختار,15060,94168,1237,95405,796,366,3349,3715,15856,94534,4586,99120,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-023,بنغازي,Benghazi,بنينة,1503,9299,97,9396,411,22,1342,1364,1914,9321,1439,10760,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-024,بنغازي,Benghazi,بو عطني,4862,29899,531,30430,949,208,3615,3823,5811,30107,4146,34253,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-025,بنغازي,Benghazi,القوارشة,1289,7566,162,7728,283,46,956,1002,1572,7612,1118,8730,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-026,بنغازي,Benghazi,قاريونس,2326,13109,125,13234,231,39,625,664,2557,13148,750,13898,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-027,بنغازي,Benghazi,الفعكات,476,2975,36,3011,25,15,132,147,501,2990,168,3158,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-028,بنغازي,Benghazi,قنفودة,527,3039,69,3108,198,21,496,517,725,3060,565,3625,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-029,بنغازي,Benghazi,تيكة,290,1598,10,1608,36,1,62,63,326,1599,72,1671,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-030,بنغازي,Benghazi,بو فاخرة,372,2515,34,2549,25,16,72,88,397,2531,106,2637,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-031,بنغازي,Benghazi,التربة,136,888,19,907,35,0,86,86,171,888,105,993,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-032,بنغازي,Benghazi,الكويفية,1516,9281,127,9408,266,46,1212,1258,1782,9327,1339,10666,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-033,بنغازي,Benghazi,بو دزيرة,988,5639,52,5691,572,27,1254,1281,1560,5666,1306,6972,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-034,بنغازي,Benghazi,سيدي خليفة,996,6469,113,6582,255,39,796,835,1251,6508,909,7417,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-035,بنغازي,Benghazi,دار العربيات,457,2774,30,2804,129,2,328,330,586,2776,358,3134,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
Benghazi-036,بنغازي,Benghazi,النواقية,680,3304,18,3322,639,57,801,858,1319,3361,819,4180,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
