address_id,full,city,region,country,latitude,longitude,shabiya_ar,shabiya_en,shabiya_pcode,matched_level,matched_script,matched_on
NK-btbxUTJmz92Q4UvHjfCyNy,Libya (Believed status/location: in custody in Libya.),,,,,,,,,,,
NK-dYDFARFXeoUSbNiQuBajD4,"No. 70, Yasaman Street, North Dibaji Str, Farmanieh Ave, Tehran, Iran",,,,,,,,,,,
NK-dfVuZi4NjogWWTkMUwovwu,"Tehran, Tavakoli Building, Opposite of 15th Alley, Emam-Jomeh Street, Iran (Islamic Republic of)",Tehran,,ir,,,,,,,,
NK-dgLtvgc2GzGkccscQ73sTF,"Tehran, Mehrabad International Airport, Next to Terminal No 6, Iran",Tehran,,ir,,,,,,,,
NK-ffNakZqBViruacEuTsFFVL,"No. 2 Iravan St. - Tishfoon St. - Khaje Abdol ah Ansari St. - Shariati St., Tehran, Iran",Tehran,,ir,,,,,,,,
NK-fwbVa6QRE8By2zoGTsjdDp,"Tehran, Takhti Three-way Intersection, IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-gCbqsmrc8JmzYvDhmhdetM,"Pasdaran Avenue, Tehran, Iran",,,,,,,,,,,
NK-iAca7HubXgERAzKAhgtngX,"Tehran, No. 182, Shahid Tohidi St, 4th Golsetan, Pasdaran Ave, 1666943, Iran","Tehran,1666943",,ir,,,,,,,,
NK-jgLWqxiF5LUyVNiWNcqQAr,"530-532 Elder Gate, Elder House, Milton Keynes, UNITED KINGDOM",Milton Keynes,,gb,,,,,,,,
NK-jgxz2ok24o3BW8VJ9ro8bQ,Libya (possible location as at Jul. 2017).,,,,,,,,,,,
NK-k5UtunQKehPNAVnA6GQ8A9,"204 Taleghani Ave, Tehran, Iran",,,,,,,,,,,
NK-kYWGExEebWY7yTUksgHCQE,"P.O. Box 16765-34, Tehran, Iran",,,,,,,,,,,
NK-kdYc3rnCs5TtjWdTpRjHid,"Tehran, No. 57, Oftani St., Larestan St., Motahari Ave., IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-mcexmhvvVsSbibYQ9toFNk,"Qom, No. 1106, 11 Hemmat Corner, Hemmat Square, Hemmat Boulevard, Shokuhieh Industrial Town, 3718116354, IRAN (ISLAMIC REPUBLIC OF)",Qom,Qom,ir,,,,,,,,
NK-mybj5AtkPrT3k2LHU8E6ye,"Tehran, No 216 (Former 319) Bahonar Avenue (Niavaran), IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-oP3gvd5ECFcySDZU5TgCpL,"Tehran, Iran",Tehran,,ir,,,,,,,,
addr-00510eee3f5ae387e6856de0799f1d0632a37f2e,"Calot Center, Sami El Solh Street, Badaro, Beirut",Beirut,,lb,,,,,,,,
addr-009968a725deca5fe12ddf53cb6b5644da648742,"Tehran, Sheikh Fazlollah Highway, Teimuri Blvd, before Sharif University Metro Station, Yas Building, Number 166, Fifth Floor, Unit 19",Tehran,,ir,,,,,,,,
addr-010b56d40a3c3626319a23286cdf625c23ee87d9,"Tehran Bimeh, Ghadir Building, 5th Floor, Plaque 4, Riahi St., 6th Alley, Tehran, 1391948116",Tehran Bimeh,,ir,,,,,,,,
addr-026eb2bcd0d6ce3b10298d399aa65465c75364ea,"Al Azarieh Building, Bechara el Khoury Street, Beirut",Beirut,,lb,,,,,,,,
addr-029ef2506a873f139de0677db2b65589fc70495a,リビア（推定される状況・居住地：死亡。）,,,,,,,,,,,
addr-02a44c172a49ff7be043abdf2a2c4aa1d6648094,"Sharjah Media City, Al Messaned, Al Bataeh, Sharjah, Sharjah",Sharjah,,ae,,,,,,,,
addr-036387dd42010ce01f9f744853f42d798ba19b71,"Kermanshah, Unit 1, Paradise Building, across from Kokab Rashidi Mosque, Nobehar Boulevard, between Shahid Iraj Faizi Alley and Shahid Khosro Abassi Alley, District 22 Bahman, 6714699785",Kermanshah,,ir,,,,,,,,
addr-037b6dd518c8ec00b8ce08ea0c7c624b4ada0a4a,"Isfahan, Shahih Shar Industrial Zone",Isfahan,,ir,,,,,,,,
addr-04a14be140baa031aa1895668fd41ca9ac4432fa,"Tehran, South Side First Floor, 2 Plaque 12 Pourfallah Street-Shahid Doctor Hassan Azdi St",Tehran,,ir,,,,,,,,
addr-0559131c5d19c83aea2753b3050570191ee73df8,"Tehran, P.O. Box 14155-5568, No. 27 Shahamat Ave, Vallie Asr Sqr, 15946",Tehran,,ir,,,,,,,,
addr-06e3186fb6815e6bd466cc231894d5f7fbbef4a8,Lorestan,,,ir,,,,,,,,
addr-0734bdc3ef1ec21b58ff842160d957274674a8c4,"Tehran, No. 48, 14th Street, Ahmad Ghasir Avenue",Tehran,,ir,,,,,,,,
addr-07bf4fae0a5a04b12a5482e7c4f588e2380711db,"Damavand Tehran Highway, Tehran Province, Iran",,,,,,,,,,,
addr-07c34240bf47a605c91df2a35fc2be491e775881,Istanbul,Istanbul,,tr,,,,,,,,
addr-07d2afee3df92b1a69e626d349c32d5db04d4160,オマーン国,,,,,,,,,,,
addr-08dfa28fcc5d1dbd485a385c4e8760a673c4292a,"Mehrabad International Airport, Next to Terminal No. 6, Tehran, Iran (Islamic Republic of)",,,,,,,,,,,
addr-0968dfa14f6715d7c0dbb095a9bdf6907602d590,"Vanak Square, Mollasadra Street, next to Shad Avenue, Number 11, Tehran, Iran",,,,,,,,,,,
addr-096ed1fc19dc42ba4d013688193902e58073ae21,"Al-Qasr Street, Sana'a",Sana'a,,ye,,,,,,,,
addr-0986646f9ff110928096b93ddbc363100d40abf2,Tehran,Tehran,,ir,,,,,,,,
addr-0b5d5ea30c9b6d7d5c211bee8dace8a9a0704dd9,Athens,Athens,,gr,,,,,,,,
